date_utc,price_usd,high_usd,low_usd,source
2025-08-26,0.999700,1.000000,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-27,0.999800,1.000000,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-28,0.999900,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-29,0.999900,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-30,0.999800,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-08-31,0.999900,0.999900,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-01,0.999900,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-02,0.999800,1.000000,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-03,0.999600,0.999900,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-04,0.999900,0.999900,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-05,0.999800,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-06,0.999700,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-07,1.000000,1.000000,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-08,0.999800,1.000000,0.999800,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-09,0.999900,0.999900,0.999700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-10,0.999600,0.999900,0.999600,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-11,0.999600,0.999800,0.999500,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-12,0.999200,0.999700,0.998700,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-13,0.999400,0.999500,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-14,0.999400,0.999500,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-15,0.999700,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-16,0.999500,0.999800,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-17,0.999500,0.999700,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-18,0.999500,0.999600,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-19,0.999400,0.999500,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-20,0.999400,0.999500,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-21,0.999300,0.999500,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-22,0.999100,0.999400,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-23,0.999700,0.999700,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-24,0.999400,0.999800,0.999400,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-25,0.999400,0.999800,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-26,0.999200,0.999400,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-27,0.999300,0.999400,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-28,0.999500,0.999600,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-29,0.999200,0.999700,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-09-30,0.999600,0.999700,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-01,0.999300,0.999700,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-02,0.999300,0.999500,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-03,0.999200,0.999300,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-04,0.999400,0.999500,0.999100,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-05,0.999600,0.999700,0.999300,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-06,0.999500,0.999700,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-07,0.999400,0.999500,0.999000,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-08,0.999500,0.999800,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
2025-10-09,0.999300,0.999700,0.999200,binance.com/api/v3/klines USDCUSDT 1d ohlc
